redCorner,blueCorner,winner,event,referee,method_of_victory,red_Knockdowns,blue_Knockdowns,red_sig_str,blue_sig_str,red_sig_str_percentage,blue_sig_str_percentage,red_total_strikes,blue_total_strikes,red_takedowns,blue_takedowns,red_takedown_percentage,blue_takedown_percentage,red_subs_attempted,blue_subs_attempted
Roman Dolidze,Kyle Daukaus,Roman Dolidze,UFC Fight Night: Kattar vs. Emmett,Mike Beltran,KO/TKO,2,0,8 of 15,4 of 9,53%,44%,10 of 17,5 of 10,0 of 0,0 of 0,---,---,0,0
Glover Teixeira,Jiri Prochazka,Jiri Prochazka,UFC 275: Teixeira vs. Prochazka,Marc Goddard,Submission,0,0,111 of 161,120 of 205,68%,58%,159 of 212,157 of 245,5 of 17,0 of 0,29%,---,1,1
Valentina Shevchenko,Taila Santos,Valentina Shevchenko,UFC 275: Teixeira vs. Prochazka,Jason Herzog,Decision - Split,0,0,77 of 139,55 of 102,55%,53%,234 of 309,128 of 180,3 of 5,3 of 3,60%,100%,1,3
Zhang Weili,Joanna Jedrzejczyk,Zhang Weili,UFC 275: Teixeira vs. Prochazka,Marc Goddard,KO/TKO,1,0,69 of 102,43 of 85,67%,50%,94 of 130,44 of 86,3 of 6,0 of 0,50%,---,0,0
Andre Fialho,Jake Matthews,Jake Matthews,UFC 275: Teixeira vs. Prochazka,Jason Herzog,KO/TKO,0,1,18 of 51,47 of 89,35%,52%,19 of 52,47 of 89,0 of 0,0 of 0,---,---,0,0
Jack Della Maddalena,Ramazan Emeev,Jack Della Maddalena,UFC 275: Teixeira vs. Prochazka,John Sharp,KO/TKO,1,0,18 of 36,7 of 24,50%,29%,18 of 36,7 of 24,0 of 0,1 of 2,---,50%,0,1
SeungWoo Choi,Josh Culibao,Josh Culibao,UFC 275: Teixeira vs. Prochazka,Steve Perceval,Decision - Split,0,2,46 of 163,51 of 111,28%,45%,64 of 184,69 of 132,1 of 2,0 of 0,50%,---,0,0
Maheshate,Steve Garcia,Maheshate,UFC 275: Teixeira vs. Prochazka,Marc Goddard,KO/TKO,2,0,7 of 10,7 of 19,70%,36%,7 of 10,9 of 21,0 of 0,0 of 0,---,---,0,0
Brendan Allen,Jacob Malkoun,Brendan Allen,UFC 275: Teixeira vs. Prochazka,Jason Herzog,Decision - Unanimous,0,0,45 of 74,33 of 55,60%,60%,89 of 122,66 of 96,2 of 2,7 of 14,100%,50%,0,0
Kyung Ho Kang,Batgerel Danaa,Kyung Ho Kang,UFC 275: Teixeira vs. Prochazka,Thomas Fan,Decision - Unanimous,0,0,100 of 155,109 of 284,64%,38%,100 of 155,110 of 286,0 of 2,0 of 1,0%,0%,0,0
Liang Na,Silvana Gomez Juarez,Silvana Gomez Juarez,UFC 275: Teixeira vs. Prochazka,Steve Perceval,KO/TKO,0,1,4 of 17,8 of 12,23%,66%,4 of 17,10 of 14,0 of 2,0 of 0,0%,---,0,0
Ramona Pascual,Joselyne Edwards,Joselyne Edwards,UFC 275: Teixeira vs. Prochazka,John Sharp,Decision - Unanimous,0,0,63 of 109,164 of 268,57%,61%,65 of 113,175 of 280,1 of 11,0 of 3,9%,0%,0,0
Alexander Volkov,Jairzinho Rozenstruik,Alexander Volkov,UFC Fight Night: Volkov vs. Rozenstruik,Herb Dean,KO/TKO,0,0,21 of 37,6 of 18,56%,33%,21 of 37,6 of 18,0 of 0,0 of 0,---,---,0,0
Dan Ige,Movsar Evloev,Movsar Evloev,UFC Fight Night: Volkov vs. Rozenstruik,Keith Peterson,Decision - Unanimous,0,0,42 of 106,68 of 129,39%,52%,47 of 114,144 of 213,0 of 0,9 of 16,---,56%,0,0
Michael Trizano,Lucas Almeida,Lucas Almeida,UFC Fight Night: Volkov vs. Rozenstruik,Mark Smith,KO/TKO,1,2,31 of 62,75 of 152,50%,49%,42 of 74,94 of 171,0 of 0,0 of 0,---,---,0,0
Karine Silva,Poliana Botelho,Karine Silva,UFC Fight Night: Volkov vs. Rozenstruik,Chris Tognoni,Submission,0,0,17 of 68,19 of 26,25%,73%,23 of 75,19 of 26,1 of 1,0 of 0,100%,---,1,0
Ode Osbourne,Zarrukh Adashev,Ode Osbourne,UFC Fight Night: Volkov vs. Rozenstruik,Keith Peterson,KO/TKO,1,0,7 of 15,7 of 13,46%,53%,7 of 15,7 of 13,0 of 0,0 of 0,---,---,0,0
Alonzo Menifield,Askar Mozharov,Alonzo Menifield,UFC Fight Night: Volkov vs. Rozenstruik,Herb Dean,KO/TKO,0,0,19 of 22,2 of 11,86%,18%,55 of 59,11 of 20,2 of 3,0 of 0,66%,---,0,0
Felice Herrig,Karolina Kowalkiewicz,Karolina Kowalkiewicz,UFC Fight Night: Volkov vs. Rozenstruik,Mark Smith,Submission,0,0,55 of 122,82 of 123,45%,66%,59 of 126,102 of 146,0 of 2,0 of 2,0%,0%,0,2
Joe Solecki,Alex Da Silva,Joe Solecki,UFC Fight Night: Volkov vs. Rozenstruik,Chris Tognoni,Decision - Majority,0,1,33 of 82,35 of 76,40%,46%,91 of 144,54 of 96,1 of 4,0 of 0,25%,---,3,0
Damon Jackson,Dan Argueta,Damon Jackson,UFC Fight Night: Volkov vs. Rozenstruik,Keith Peterson,Decision - Unanimous,0,0,32 of 53,27 of 59,60%,45%,47 of 71,103 of 141,2 of 4,1 of 3,50%,33%,1,0
Niklas Stolze,Benoit Saint Denis,Benoit Saint Denis,UFC Fight Night: Volkov vs. Rozenstruik,Mark Smith,Submission,0,0,11 of 14,8 of 10,78%,80%,20 of 23,41 of 48,0 of 0,3 of 5,---,60%,1,2
Johnny Munoz,Tony Gravely,Tony Gravely,UFC Fight Night: Volkov vs. Rozenstruik,Chris Tognoni,KO/TKO,0,1,2 of 7,5 of 15,28%,33%,2 of 7,6 of 16,0 of 1,0 of 0,0%,---,0,0
Jeff Molina,Zhalgas Zhumagulov,Jeff Molina,UFC Fight Night: Volkov vs. Rozenstruik,Herb Dean,Decision - Split,0,0,56 of 148,37 of 112,37%,33%,129 of 226,68 of 146,0 of 0,2 of 13,---,15%,0,0
Rinat Fakhretdinov,Andreas Michailidis,Rinat Fakhretdinov,UFC Fight Night: Volkov vs. Rozenstruik,Mark Smith,Decision - Unanimous,0,0,45 of 61,18 of 33,73%,54%,106 of 130,48 of 65,5 of 10,0 of 2,50%,0%,0,0
Erin Blanchfield,JJ Aldrich,Erin Blanchfield,UFC Fight Night: Volkov vs. Rozenstruik,Chris Tognoni,Submission,0,0,48 of 100,32 of 71,48%,45%,68 of 121,38 of 77,0 of 4,2 of 6,0%,33%,1,0
Holly Holm,Ketlen Vieira,Ketlen Vieira,UFC Fight Night: Holm vs. Vieira,Jason Herzog,Decision - Split,0,0,96 of 157,85 of 151,61%,56%,188 of 263,122 of 190,0 of 6,1 of 7,0%,14%,0,1
Santiago Ponzinibbio,Michel Pereira,Michel Pereira,UFC Fight Night: Holm vs. Vieira,Herb Dean,Decision - Split,0,0,105 of 220,110 of 216,47%,50%,106 of 221,110 of 216,1 of 4,0 of 0,25%,---,0,0
Chidi Njokuani,Dusko Todorovic,Chidi Njokuani,UFC Fight Night: Holm vs. Vieira,Mark Smith,KO/TKO,1,0,14 of 17,5 of 7,82%,71%,19 of 23,9 of 11,0 of 0,2 of 7,---,28%,1,0
Polyana Viana,Tabatha Ricci,Tabatha Ricci,UFC Fight Night: Holm vs. Vieira,Chris Tognoni,Decision - Unanimous,0,0,36 of 97,33 of 73,37%,45%,126 of 212,72 of 126,0 of 0,5 of 10,---,50%,0,0
Eryk Anders,JunYong Park,JunYong Park,UFC Fight Night: Holm vs. Vieira,Jason Herzog,Decision - Split,0,0,65 of 142,105 of 184,45%,57%,75 of 155,108 of 187,3 of 24,0 of 1,12%,0%,0,0
Joseph Holmes,Alen Amedovski,Joseph Holmes,UFC Fight Night: Holm vs. Vieira,Herb Dean,Submission,1,0,16 of 23,1 of 8,69%,12%,16 of 23,1 of 8,1 of 1,0 of 0,100%,---,1,0
Jailton Almeida,Parker Porter,Jailton Almeida,UFC Fight Night: Holm vs. Vieira,Mark Smith,Submission,0,0,18 of 34,0 of 0,52%,---,36 of 58,0 of 0,1 of 2,0 of 0,50%,---,1,0
Omar Morales,Uros Medic,Uros Medic,UFC Fight Night: Holm vs. Vieira,Chris Tognoni,KO/TKO,0,2,33 of 85,47 of 86,38%,54%,33 of 85,47 of 86,0 of 0,0 of 0,---,---,0,0
Jonathan Martinez,Vince Morales,Jonathan Martinez,UFC Fight Night: Holm vs. Vieira,Herb Dean,Decision - Unanimous,0,0,88 of 154,51 of 153,57%,33%,88 of 154,62 of 164,2 of 2,0 of 0,100%,---,0,0
Chase Hooper,Felipe Colares,Chase Hooper,UFC Fight Night: Holm vs. Vieira,Mark Smith,KO/TKO,0,0,60 of 93,21 of 23,64%,91%,140 of 188,43 of 46,4 of 7,2 of 4,57%,50%,3,0
Elise Reed,Sam Hughes,Sam Hughes,UFC Fight Night: Holm vs. Vieira,Chris Tognoni,KO/TKO,0,0,17 of 41,43 of 65,41%,66%,70 of 100,130 of 161,0 of 0,4 of 7,---,57%,0,0
Jan Blachowicz,Aleksandar Rakic,Jan Blachowicz,UFC Fight Night: Blachowicz vs. Rakic,Mark Smith,KO/TKO,0,0,31 of 71,27 of 85,43%,31%,53 of 94,61 of 125,0 of 0,1 of 4,---,25%,1,0
Ryan Spann,Ion Cutelaba,Ryan Spann,UFC Fight Night: Blachowicz vs. Rakic,Herb Dean,Submission,0,0,4 of 11,2 of 9,36%,22%,5 of 12,2 of 9,0 of 0,3 of 3,---,100%,1,0
Davey Grant,Louis Smolka,Davey Grant,UFC Fight Night: Blachowicz vs. Rakic,Mike Beltran,KO/TKO,1,0,81 of 197,71 of 139,41%,51%,84 of 200,75 of 145,0 of 1,0 of 3,0%,0%,0,0
Katlyn Chookagian,Amanda Ribas,Katlyn Chookagian,UFC Fight Night: Blachowicz vs. Rakic,Chris Tognoni,Decision - Split,0,0,63 of 222,55 of 169,28%,32%,71 of 230,84 of 204,0 of 2,3 of 6,0%,50%,0,0
Frank Camacho,Manuel Torres,Manuel Torres,UFC Fight Night: Blachowicz vs. Rakic,Herb Dean,KO/TKO,0,1,16 of 31,34 of 64,51%,53%,24 of 40,34 of 64,0 of 5,0 of 1,0%,0%,0,0
Jake Hadley,Allan Nascimento,Allan Nascimento,UFC Fight Night: Blachowicz vs. Rakic,Mike Beltran,Decision - Unanimous,0,0,8 of 29,19 of 52,27%,36%,26 of 47,36 of 69,0 of 0,2 of 4,---,50%,1,0
Viviane Araujo,Andrea Lee,Viviane Araujo,UFC Fight Night: Blachowicz vs. Rakic,Chris Tognoni,Decision - Unanimous,0,1,39 of 79,47 of 82,49%,57%,96 of 160,64 of 103,3 of 5,1 of 2,60%,50%,2,0
Michael Johnson,Alan Patrick,Michael Johnson,UFC Fight Night: Blachowicz vs. Rakic,Herb Dean,KO/TKO,1,0,30 of 48,22 of 47,62%,46%,40 of 61,30 of 56,1 of 1,0 of 5,100%,0%,0,0
Virna Jandiroba,Angela Hill,Virna Jandiroba,UFC Fight Night: Blachowicz vs. Rakic,Mark Smith,Decision - Unanimous,0,0,14 of 60,21 of 55,23%,38%,92 of 151,44 of 86,3 of 8,1 of 2,37%,50%,0,0
Tatsuro Taira,Carlos Candelario,Tatsuro Taira,UFC Fight Night: Blachowicz vs. Rakic,Mike Beltran,Decision - Unanimous,1,0,57 of 87,9 of 34,65%,26%,89 of 132,21 of 47,1 of 5,2 of 5,20%,40%,3,1
Nick Maximov,Andre Petroski,Andre Petroski,UFC Fight Night: Blachowicz vs. Rakic,Chris Tognoni,Submission,0,0,4 of 11,1 of 10,36%,10%,4 of 11,1 of 10,0 of 1,0 of 0,0%,---,0,1
Charles Oliveira,Justin Gaethje,Charles Oliveira,UFC 274: Oliveira vs. Gaethje,Marc Goddard,Submission,1,1,30 of 47,21 of 33,63%,63%,33 of 52,21 of 33,0 of 1,0 of 0,0%,---,2,0
Rose Namajunas,Carla Esparza,Carla Esparza,UFC 274: Oliveira vs. Gaethje,Keith Peterson,Decision - Split,0,0,37 of 136,30 of 133,27%,22%,38 of 137,30 of 133,1 of 1,2 of 11,100%,18%,0,0
Michael Chandler,Tony Ferguson,Michael Chandler,UFC 274: Oliveira vs. Gaethje,Jason Herzog,KO/TKO,1,0,27 of 53,20 of 50,50%,40%,43 of 73,27 of 58,1 of 1,0 of 0,100%,---,0,0
Mauricio Rua,Ovince Saint Preux,Ovince Saint Preux,UFC 274: Oliveira vs. Gaethje,Marc Goddard,Decision - Split,0,0,54 of 99,62 of 112,54%,55%,54 of 99,62 of 112,0 of 0,0 of 1,---,0%,0,0
Randy Brown,Khaos Williams,Randy Brown,UFC 274: Oliveira vs. Gaethje,Jason Herzog,Decision - Split,0,1,93 of 177,75 of 224,52%,33%,103 of 188,96 of 246,0 of 4,0 of 0,0%,---,0,0
Francisco Trinaldo,Danny Roberts,Francisco Trinaldo,UFC 274: Oliveira vs. Gaethje,Ryan Brueggeman,Decision - Unanimous,0,0,80 of 124,36 of 118,64%,30%,91 of 137,44 of 128,0 of 1,0 of 0,0%,---,1,0
Macy Chiasson,Norma Dumont,Macy Chiasson,UFC 274: Oliveira vs. Gaethje,Keith Peterson,Decision - Split,0,0,32 of 89,38 of 75,35%,50%,131 of 194,96 of 136,6 of 12,0 of 0,50%,---,0,0
Brandon Royval,Matt Schnell,Brandon Royval,UFC 274: Oliveira vs. Gaethje,Ryan Brueggeman,Submission,0,1,14 of 39,12 of 33,35%,36%,14 of 39,15 of 36,0 of 0,0 of 0,---,---,1,0
Blagoy Ivanov,Marcos Rogerio de Lima,Blagoy Ivanov,UFC 274: Oliveira vs. Gaethje,Marc Goddard,Decision - Unanimous,0,0,62 of 128,68 of 133,48%,51%,75 of 142,81 of 147,0 of 4,1 of 5,0%,20%,0,0
Andre Fialho,Cameron VanCamp,Andre Fialho,UFC 274: Oliveira vs. Gaethje,Marc Goddard,KO/TKO,1,0,17 of 24,19 of 31,70%,61%,17 of 24,19 of 31,0 of 0,0 of 0,---,---,0,0
Tracy Cortez,Melissa Gatto,Tracy Cortez,UFC 274: Oliveira vs. Gaethje,Jason Herzog,Decision - Unanimous,0,0,36 of 66,30 of 73,54%,41%,70 of 102,49 of 95,2 of 3,3 of 6,66%,50%,1,1
Kleydson Rodrigues,CJ Vergara,CJ Vergara,UFC 274: Oliveira vs. Gaethje,Keith Peterson,Decision - Split,0,0,81 of 143,71 of 127,56%,55%,93 of 156,155 of 221,2 of 7,0 of 0,28%,---,1,0
Ariane Carnelossi,Loopy Godinez,Loopy Godinez,UFC 274: Oliveira vs. Gaethje,Jason Herzog,Decision - Unanimous,0,0,9 of 20,46 of 61,45%,75%,23 of 35,130 of 173,0 of 1,8 of 8,0%,100%,0,2
Journey Newson,Fernie Garcia,Journey Newson,UFC 274: Oliveira vs. Gaethje,Ryan Brueggeman,Decision - Unanimous,0,0,57 of 143,37 of 103,39%,35%,63 of 150,38 of 104,2 of 3,0 of 0,66%,---,0,0
Rob Font,Marlon Vera,Marlon Vera,UFC Fight Night: Font vs. Vera,Jason Herzog,Decision - Unanimous,0,3,271 of 516,159 of 283,52%,56%,273 of 520,167 of 291,1 of 2,0 of 0,50%,---,0,0
Andrei Arlovski,Jake Collier,Andrei Arlovski,UFC Fight Night: Font vs. Vera,Mark Smith,Decision - Split,0,0,91 of 164,93 of 188,55%,49%,105 of 178,132 of 231,0 of 0,2 of 3,---,66%,0,0
Andre Fili,Joanderson Brito,Joanderson Brito,UFC Fight Night: Font vs. Vera,Herb Dean,KO/TKO,0,1,6 of 15,14 of 20,40%,70%,6 of 15,14 of 20,0 of 0,0 of 0,---,---,0,0
Jared Gordon,Grant Dawson,Grant Dawson,UFC Fight Night: Font vs. Vera,Keith Peterson,Submission,0,0,77 of 119,54 of 111,64%,48%,111 of 153,98 of 163,0 of 0,7 of 17,---,41%,0,2
Darren Elkins,Tristan Connelly,Darren Elkins,UFC Fight Night: Font vs. Vera,Jason Herzog,Decision - Unanimous,0,0,75 of 151,66 of 117,49%,56%,165 of 259,106 of 158,5 of 10,0 of 0,50%,---,1,0
Krzysztof Jotko,Gerald Meerschaert,Krzysztof Jotko,UFC Fight Night: Font vs. Vera,Herb Dean,Decision - Unanimous,0,0,65 of 124,37 of 91,52%,40%,129 of 195,46 of 101,4 of 4,1 of 4,100%,25%,0,0
Alexandr Romanov,Chase Sherman,Alexandr Romanov,UFC Fight Night: Font vs. Vera,Mark Smith,Submission,0,0,8 of 14,0 of 0,57%,---,11 of 17,0 of 0,3 of 3,0 of 0,100%,---,1,0
Daniel Lacerda,Francisco Figueiredo,Francisco Figueiredo,UFC Fight Night: Font vs. Vera,Keith Peterson,Submission,0,0,4 of 6,5 of 5,66%,100%,5 of 7,5 of 5,1 of 1,0 of 0,100%,---,0,1
Gabe Green,Yohan Lainesse,Gabe Green,UFC Fight Night: Font vs. Vera,Herb Dean,KO/TKO,0,1,48 of 123,41 of 80,39%,51%,54 of 129,42 of 81,0 of 0,2 of 4,---,50%,0,1
Natan Levy,Mike Breeden,Natan Levy,UFC Fight Night: Font vs. Vera,Mark Smith,Decision - Unanimous,0,0,92 of 141,104 of 210,65%,49%,99 of 150,115 of 221,9 of 16,3 of 4,56%,75%,0,0
Gina Mazany,Shanna Young,Shanna Young,UFC Fight Night: Font vs. Vera,Jason Herzog,KO/TKO,0,0,48 of 86,49 of 102,55%,48%,57 of 95,62 of 118,1 of 5,0 of 0,20%,---,0,0
Amanda Lemos,Jessica Andrade,Jessica Andrade,UFC Fight Night: Lemos vs. Andrade,Keith Peterson,Submission,0,0,7 of 17,3 of 9,41%,33%,7 of 17,3 of 9,0 of 0,0 of 1,---,0%,0,1
Clay Guida,Claudio Puelles,Claudio Puelles,UFC Fight Night: Lemos vs. Andrade,Herb Dean,Submission,0,0,3 of 4,1 of 3,75%,33%,4 of 6,11 of 13,0 of 1,0 of 0,0%,---,0,2
Maycee Barber,Montana De La Rosa,Maycee Barber,UFC Fight Night: Lemos vs. Andrade,Chris Tognoni,Decision - Unanimous,0,0,50 of 63,14 of 28,79%,50%,80 of 101,41 of 57,1 of 4,1 of 2,25%,50%,0,0
Lando Vannata,Charles Jourdain,Charles Jourdain,UFC Fight Night: Lemos vs. Andrade,Keith Peterson,Submission,0,0,8 of 14,4 of 7,57%,57%,8 of 14,5 of 8,1 of 1,0 of 0,100%,---,0,1
Jordan Wright,Marc-Andre Barriault,Marc-Andre Barriault,UFC Fight Night: Lemos vs. Andrade,Herb Dean,Submission,0,0,12 of 13,13 of 17,92%,76%,16 of 17,17 of 21,2 of 4,0 of 0,50%,---,0,1
Dwight Grant,Sergey Khandozhko,Sergey Khandozhko,UFC Fight Night: Lemos vs. Andrade,Chris Tognoni,KO/TKO,1,2,42 of 110,49 of 125,38%,39%,47 of 115,49 of 125,1 of 1,1 of 1,100%,100%,0,0
Tyson Pedro,Ike Villanueva,Tyson Pedro,UFC Fight Night: Lemos vs. Andrade,Mark Smith,KO/TKO,1,0,22 of 29,4 of 22,75%,18%,22 of 29,4 of 22,0 of 0,0 of 0,---,---,0,0
Aoriqileng,Cameron Else,Aoriqileng,UFC Fight Night: Lemos vs. Andrade,Keith Peterson,KO/TKO,1,0,37 of 64,6 of 12,57%,50%,49 of 85,7 of 13,1 of 1,0 of 0,100%,---,0,0
Preston Parsons,Evan Elder,Preston Parsons,UFC Fight Night: Lemos vs. Andrade,Herb Dean,Decision - Unanimous,0,0,75 of 112,27 of 60,66%,45%,121 of 160,34 of 67,4 of 6,0 of 2,66%,0%,5,0
Marcin Prachnio,Philipe Lins,Philipe Lins,UFC Fight Night: Lemos vs. Andrade,Mark Smith,Decision - Unanimous,0,0,74 of 117,64 of 110,63%,58%,116 of 159,96 of 142,0 of 1,4 of 11,0%,36%,0,0
Dean Barry,Mike Jackson,Mike Jackson,UFC Fight Night: Lemos vs. Andrade,Chris Tognoni,DQ,1,0,36 of 90,18 of 37,40%,48%,39 of 93,18 of 37,0 of 0,0 of 1,---,0%,0,0
Vicente Luque,Belal Muhammad,Belal Muhammad,UFC Fight Night: Luque vs. Muhammad,Herb Dean,Decision - Unanimous,0,0,84 of 184,60 of 155,45%,38%,102 of 203,136 of 260,0 of 0,5 of 10,---,50%,0,0
Caio Borralho,Gadzhi Omargadzhiev,Caio Borralho,UFC Fight Night: Luque vs. Muhammad,Dan Miragliotta,Decision - Unanimous,0,0,31 of 49,12 of 38,63%,31%,63 of 86,61 of 90,1 of 1,1 of 2,100%,50%,0,0
Miguel Baeza,Andre Fialho,Andre Fialho,UFC Fight Night: Luque vs. Muhammad,Mark Smith,KO/TKO,0,1,24 of 58,32 of 56,41%,57%,24 of 58,32 of 56,0 of 0,0 of 0,---,---,0,0
Mayra Bueno Silva,Wu Yanan,Mayra Bueno Silva,UFC Fight Night: Luque vs. Muhammad,Chris Tognoni,Decision - Unanimous,0,0,87 of 152,62 of 218,57%,28%,88 of 153,75 of 232,0 of 1,1 of 1,0%,100%,2,0
Pat Sabatini,TJ Laramie,Pat Sabatini,UFC Fight Night: Luque vs. Muhammad,Herb Dean,Decision - Unanimous,0,0,36 of 63,15 of 31,57%,48%,124 of 162,22 of 39,6 of 10,1 of 4,60%,25%,0,0
Mounir Lazzez,Ange Loosa,Mounir Lazzez,UFC Fight Night: Luque vs. Muhammad,Mark Smith,Decision - Unanimous,0,0,141 of 260,88 of 213,54%,41%,141 of 260,91 of 216,0 of 2,0 of 2,0%,0%,0,0
Devin Clark,William Knight,Devin Clark,UFC Fight Night: Luque vs. Muhammad,Dan Miragliotta,KO/TKO,1,0,34 of 47,21 of 41,72%,51%,125 of 140,39 of 59,2 of 5,1 of 1,40%,100%,0,2
Lina Lansberg,Pannie Kianzad,Pannie Kianzad,UFC Fight Night: Luque vs. Muhammad,Chris Tognoni,Decision - Unanimous,1,0,39 of 88,78 of 160,44%,48%,64 of 113,109 of 210,0 of 3,1 of 1,0%,100%,0,0
Drakkar Klose,Brandon Jenkins,Drakkar Klose,UFC Fight Night: Luque vs. Muhammad,Herb Dean,KO/TKO,2,0,76 of 108,18 of 38,70%,47%,77 of 109,28 of 48,2 of 3,0 of 0,66%,---,0,0
Rafa Garcia,Jesse Ronson,Rafa Garcia,UFC Fight Night: Luque vs. Muhammad,Mark Smith,Submission,0,0,35 of 80,25 of 61,43%,40%,73 of 126,28 of 64,3 of 4,0 of 1,75%,0%,1,0
Chris Barnett,Martin Buday,Martin Buday,UFC Fight Night: Luque vs. Muhammad,Dan Miragliotta,Decision - Unanimous,0,1,23 of 52,56 of 83,44%,67%,44 of 73,131 of 172,0 of 0,0 of 0,---,---,0,0
Jordan Leavitt,Trey Ogden,Jordan Leavitt,UFC Fight Night: Luque vs. Muhammad,Chris Tognoni,Decision - Split,0,0,69 of 105,41 of 90,65%,45%,124 of 170,130 of 182,0 of 3,1 of 4,0%,25%,0,2
Istela Nunes,Sam Hughes,Sam Hughes,UFC Fight Night: Luque vs. Muhammad,Mark Smith,Decision - Majority,0,0,89 of 228,76 of 182,39%,41%,90 of 229,151 of 257,0 of 0,2 of 5,---,40%,0,0
Alatengheili,Kevin Croom,Alatengheili,UFC Fight Night: Luque vs. Muhammad,Chris Tognoni,KO/TKO,1,0,9 of 17,2 of 12,52%,16%,9 of 17,2 of 12,0 of 0,0 of 0,---,---,0,0
Alexander Volkanovski,Chan Sung Jung,Alexander Volkanovski,UFC 273: Volkanovski vs. The Korean Zombie,Herb Dean,KO/TKO,1,0,138 of 213,48 of 125,64%,38%,152 of 228,51 of 128,4 of 8,0 of 0,50%,---,0,0
Aljamain Sterling,Petr Yan,Aljamain Sterling,UFC 273: Volkanovski vs. The Korean Zombie,Keith Peterson,Decision - Split,0,0,62 of 110,63 of 103,56%,61%,91 of 143,139 of 186,2 of 22,0 of 0,9%,---,0,0
Gilbert Burns,Khamzat Chimaev,Khamzat Chimaev,UFC 273: Volkanovski vs. The Korean Zombie,Mike Beltran,Decision - Unanimous,0,1,119 of 200,108 of 223,59%,48%,141 of 223,124 of 239,0 of 5,2 of 3,0%,66%,0,0
Mackenzie Dern,Tecia Torres,Mackenzie Dern,UFC 273: Volkanovski vs. The Korean Zombie,Keith Peterson,Decision - Split,0,0,50 of 156,76 of 124,32%,61%,58 of 164,78 of 126,0 of 5,0 of 2,0%,0%,3,0
Vinc Pichel,Mark Madsen,Mark Madsen,UFC 273: Volkanovski vs. The Korean Zombie,Larry Folsom,Decision - Unanimous,0,0,68 of 123,39 of 87,55%,44%,88 of 144,57 of 110,1 of 2,3 of 3,50%,100%,0,0
Ian Garry,Darian Weeks,Ian Garry,UFC 273: Volkanovski vs. The Korean Zombie,Herb Dean,Decision - Unanimous,0,0,74 of 144,40 of 77,51%,51%,80 of 151,60 of 99,0 of 0,1 of 3,---,33%,0,0
Anthony Hernandez,Josh Fremd,Anthony Hernandez,UFC 273: Volkanovski vs. The Korean Zombie,Herb Dean,Decision - Unanimous,0,0,48 of 71,31 of 54,67%,57%,91 of 124,43 of 67,8 of 11,1 of 1,72%,100%,3,1
Aspen Ladd,Raquel Pennington,Raquel Pennington,UFC 273: Volkanovski vs. The Korean Zombie,Keith Peterson,Decision - Unanimous,0,0,65 of 160,114 of 195,40%,58%,102 of 199,136 of 218,2 of 4,0 of 1,50%,0%,0,0
Mickey Gall,Mike Malott,Mike Malott,UFC 273: Volkanovski vs. The Korean Zombie,Larry Folsom,KO/TKO,0,1,13 of 30,28 of 44,43%,63%,14 of 31,29 of 45,1 of 1,0 of 0,100%,---,0,0
Aleksei Oleinik,Jared Vanderaa,Aleksei Oleinik,UFC 273: Volkanovski vs. The Korean Zombie,Mike Beltran,Submission,0,0,8 of 22,15 of 40,36%,37%,8 of 22,23 of 49,0 of 0,0 of 0,---,---,1,0
Piera Rodriguez,Kay Hansen,Piera Rodriguez,UFC 273: Volkanovski vs. The Korean Zombie,Keith Peterson,Decision - Unanimous,0,0,50 of 88,31 of 77,56%,40%,77 of 124,54 of 106,3 of 4,2 of 8,75%,25%,0,0
Julio Arce,Daniel Santos,Julio Arce,UFC 273: Volkanovski vs. The Korean Zombie,Larry Folsom,Decision - Unanimous,0,0,127 of 265,49 of 229,47%,21%,127 of 265,49 of 229,0 of 1,0 of 2,0%,0%,0,0
Curtis Blaydes,Chris Daukaus,Curtis Blaydes,UFC Fight Night: Blaydes vs. Daukaus,Herb Dean,KO/TKO,1,0,30 of 63,13 of 38,47%,34%,30 of 63,13 of 38,0 of 0,0 of 0,---,---,0,0
Joanne Wood,Alexa Grasso,Alexa Grasso,UFC Fight Night: Blaydes vs. Daukaus,Gary Copeland,Submission,0,0,34 of 49,16 of 28,69%,57%,61 of 76,50 of 65,0 of 0,2 of 2,---,100%,0,1
Matt Brown,Bryan Barberena,Bryan Barberena,UFC Fight Night: Blaydes vs. Daukaus,Keith Peterson,Decision - Split,0,0,81 of 129,111 of 211,62%,52%,95 of 145,186 of 289,5 of 7,0 of 0,71%,---,0,0
Askar Askarov,Kai Kara-France,Kai Kara-France,UFC Fight Night: Blaydes vs. Daukaus,Chad Trukovich,Decision - Unanimous,0,0,27 of 60,51 of 130,45%,39%,37 of 76,64 of 145,2 of 14,0 of 1,14%,0%,2,0
Neil Magny,Max Griffin,Neil Magny,UFC Fight Night: Blaydes vs. Daukaus,Keith Peterson,Decision - Split,0,1,54 of 144,67 of 123,37%,54%,104 of 204,75 of 132,1 of 9,0 of 2,11%,0%,0,0
Marc Diakiese,Viacheslav Borshchev,Marc Diakiese,UFC Fight Night: Blaydes vs. Daukaus,Gary Copeland,Decision - Unanimous,0,0,17 of 20,12 of 21,85%,57%,40 of 50,32 of 44,11 of 18,0 of 0,61%,---,0,0
